lemma,part_of_speech,translation,relations
agoodoon,class 2 transitive inanimate verb,hang it Paired with:agoozh,"agoozh, agoodoon, agoodamaw, agoodaw, inagoozh, inagoodoon, ishkwegoozh, ishkwegoodoon, ishpagoozh, ishpagoodoon, niigaanagoozh, niigaanagoodoon, onagoozh, onagoodoon, niibidegoozh, niibidegoodoon, dabasagoozh, dabasagoodoon, ikwagoozh, ikwagoodoon, aandagoozh, aandagoodoon, ajidagoozh, ajidagoodoon, aandagoozh, aandagoodoon"
agoojiganaabikoons,inanimate noun,a coat hanger made of wire,
danakamigad,inanimate intransitive verb,"it (an event) takes place, happens in a certain place Paired with:danakamigizi","danakamigizi, inakamigizi, inakamigad, izhiwebad"
minawaanigwad,inanimate intransitive verb,"it is happy, is joyous, is exciting Paired with:minawaanigozi","minawaanigozi, minawaanigwad"
miikinji',transitive animate verb,"provoke, tease, harass, bully h/",
ginzhizhawizi,animate intransitive verb,"s/he is a hard worker, is active, is energetic; s/he is skilled, is very competent, knows what s/he is doing",
zanagad,inanimate intransitive verb,"it is difficult, hard (to do or manage) Paired with:zanagizi","zanagizi, zanagenim, zanagendan"
mashkawizi,animate intransitive verb,"s/he is strong, hard, dense Paired with:mashkawaa","mashkawaa, mashkawizi"
enigok,degree adverb,harder; with effort,
agaawaa,degree adverb,barely; hardly See also:,agaawaa
biiwaabiko-adaawewigamig,inanimate noun,a hardware store See also:biiwaabikwadaawewigamig,"biiwaabikwadaawewigamig, biiwaabiko-adaawewigamig"
waabooz,animate noun,"a rabbit, a snowshoe hare",noondaagochigan
noondaagochigan,inanimate noun,"a musical instrument (especially a wind instrument): horn, whistle, harmoca See also:na",noondaagochigan
onapizh,transitive animate verb,"tie h/ in place, harnesss h/ Paired with:onapidoon","onapidoon, onapide, napaadapidoon"
bazhiba'igan,inanimate noun,"something to stab or spear with: a fishing harpoon, a fishing spear with a long attached line",
bawa'am,class 2 animate intransitive verb,s/he knocks wild rice,
wiiwakwaan,inanimate noun,"a cap, a hat",giichiwakwaane
baashkaawe'am,class 2 animate intransitive verb,s/he hatches,
zhiingenim,transitive animate verb,"dislike, disaprove of, hate h/ Paired with:zhiingendan","zhiingendan, zhiingenim, zhiingendaagozi, zhiingendaagwad"
aawadaaso,animate intransitive verb,"s/he hauls a load, hauls freight","aawadoon, aawazh, aawadamaw, bimaawazh, bimaawadoon, animaawazh, animaawadoon, ondaawazh, ondaawadoon, biidaawazh, biidaawadoon, aawajinigaazh, aawajinigaadan, inaawazh, inaawadoon, maadaawazh, maadaawadoon"
ayaan,class 4 transitive inanimate verb,have it; own it Paired with:ayaaw,"ayaaw, ayaan, baatayiino', baatayiinatoon"
biizikan,transitive inanimate verb,"wear it, have it on (the body), put it on (the body) Paired with:biizikaw","biizikaw, biizikan"
gigishkan,transitive inanimate verb,"have it on (the body), bear it (on the body); wear it Paired with:gigishkaw",gigishkaw
gekek,animate noun,a hawk,
miinens,animate noun,a hawthorn fruit,mashkosiw
mashkosiw,inanimate noun,"grass, hay, a blade of grass See also:mashkosi",mashkosi
okosijigan,inanimate noun,a haystack,
bagaan,animate noun,"a nut, a hazelnut, a peanut",
bagaaniminzh,animate noun,a hazelnut bush,biigizawakwad
biigizawakwad,inanimate intransitive verb,it is hazy; there are scattered clouds,
wiin,personal pronoun,"he, she; her, him See also:gaye ;ge",gaye wiin
nishtigwaan,dependent inanimate noun,my head See also:nitigwaan,"nitigwaan, otigwaan, nishtigwaan, oshtigwaan, mangishtigwaane, mangitigwaane"
ogimaawigamig,inanimate noun,an admistrative office; a head office,
dewikwe,animate intransitive verb,s/he has a headache,
basikwebizon,inanimate noun,a headband,
miigwani-wiiwakwaan,inanimate noun,"a feather headdress, a feather bonnet",
ogichidaa,animate noun,"a ceremonial headman; a warrior, a veteran",
ogichidaakwe,animate noun,a ceremonial headwoman; wife of ceremonial headman,
nanaandawi',transitive animate verb,"heal, doctor h/",
giige,animate intransitive verb,s/he heals up,
noojimo,animate intransitive verb,"s/he heals, recovers from an illness",
nenaandawi'iwed,animate participle,traditional healer,
noojimo'iwewin,inanimate noun,"healing, curing",
nanaandawi'iwe-nagamon,inanimate noun,a healing song,
noondam,class 2 animate intransitive verb,s/he hears,"noondan, noondaw, noondaagwad, noondaagozi, zhiingitaw, zhiingitan, initaw, initan, initaagozi, initaagwad, danitaw, danitan, danitaagozi, danitaagwad, debitaw, debitan, debitaagwad, debitaagozi, na'itaw, zegitaw, zegitan, minotaw, minotan"
bagakitaagozi,animate intransitive verb,"s/he or it (animate) sounds clear, is heard clearly; s/he is understandable Paired with:bagakitaagwad","bagakitaagwad, bagakitaagozi, biidwewebizo, biidwewebide, biidwewebizo, biidwewebide, bimweweyaadage, biidweweyaadagaa"
niboowidaabaan,animate noun,a hearse See also:ni,"niboowidaabaan, niboowidaabaan"
inde',dependent inanimate noun,my heart,
giiwoon,animate noun,a heart suite card See also:giiyoon,"giiyoon, giiwoon"
mamaajide'eshkaa,animate intransitive verb,"s/he has heart palpitations, has a heart attack",
maazhide'e,animate intransitive verb,s/he has heartburn,
gizizan,transitive inanimate verb,"heat it, heat it up See also:gizhizan","gizhizan, giizizan, giizhizwi, gizhaabikiz, miskwaabikizan, miskwaabikiz"
