lemma,ojibwe_sentence,english_sentence
wiijiiw,Ningii-wiijiiwaanaan nimaamaayinaan gii-mawinzoyaang. Niin dash ningii-ni-gagiiginaanan iniw miinan memaangiminagakin.,We went with our mother blueberry picking and I picked the biggest ones.
wiijiiw,Dan owiijiiwaa' gaa-andawawinzonid.,Dan goes with the berry pickers.
gashki-ewizi,Gii-kashki'ewizi ningozis gii-izhaad gabe-gikendaasoowigamigong.,My son was able to go to college.
gashki-ewizi,Mii go 'i aanawi gii-kashki'ewizid ji-mazina'iged wii-aanjidaabaaned.,He was able anyway to get financing to trade in his car.
asigibii-igewinini,Gii-kiikibii'ige aw asigibii'igewinini aana-gikendaasod.,The accountant is smart enough and knows better than to make false entries.
anaamim,Ingii-anaamimigoo nabagaabikak i'iw odaabaanish.,They blame me for that dent on that old car.
anaamim,Niin ina gidanaamim. Gaawiin gosha niin 'omaa ningii'-ayaasii dibikong.,Are you blaming me? I wasn't even here last night.
gashkichige,Nawaj igo gashkichige anokiitaadizod apiich idash anokiitaaged.,He makes more money working for himself than he does working for someone else.
gashkichige,Gashkichigewag igi ininiwag gii-wi-anokiiwaad iwidi oodenaang.,The men make money having gone to work in town.
dagon,Nindagonaag okaadaakoog naboobiikeyaan.,I add carrots when I make soup.
ganoozh,Gii-minwendam gii-pi-ganoonind ji-o-gaagiigidod iwidi endazhi-zagaswe'iding.,He was happy that they called on him to go speak at the council meeting.
ganoozh,Gidaana-wii-kanoonin miinawaa. Gaawiin anokiimagasinoon ningiigidoo-biiwaabikoons. Ganabaj gii-kidiskaabiiginigaade.,I was going to call you again. My phone isn't working. I think it's disconnected.
ganoozh,Ingii-kanoonaa ondaas imaa ji-bi-inabid.,I asked him to sit a little closer.
ganoozh,Babiizigitaagozi gaa-bi-ganoozhid zhebaa. Agaawaa go ninisidotawaa.,He sounded hoarse when I called him this morning. I could barely understand him.
agoke,Agawaateyaabikaang izhi-agoke aasaakamig. Mii 'imaa wenji-gikendaman aandi nake giiwedinong.,Moss grows on the shady side of rock. That's where you can learn which way is north.
bami,Odapenimonan omaamaayan ji-bami'igod.,He relies on his mother to take care of him.
bami,Weweni obami'aan iniw omishoomisan.,He's taking good care for his grandfather.
gichi-aya-aa,Wenda-biinge-waabishkindibe awe gichi-aya'aa.,That elder's hair is really all white.
gichi-aya-aa,Wii-maawanji'iidiwag igiw gichi-aya'aag wii-tazhindamowaad mewinzha gaa-pi-izhiwebak.,The elders are going to assemble to discuss what happened long ago.
gichi-aya-aa,Onji'o gichi-aya'aa ji-izhichigewind.,The elder forbids doing it that way.
giizhaa,Giizhaa gii-ozhiitaa wii-izhaad oodenaang.,He got ready to go to town.
giizhaa,Giizhaa ningii-kiizhizaan waa'-miijiyaan dagoshinaan onaagoshig.,I already made my meal for when I get home this evening.
giizhaa,Giizhaa gidaa-ozhiitaamin. Giga-mawadisaanaan awe bezhig ikwe.,Go get ready and we'll visit that certain lady.
giizhaa,Giizhaa ogakiiwenigaadaan ojiimaan jibwaa-naawakwenig.,S/he already carried h/ canoe over the portage before noon.
gotaaji,Aapiji ingii-mashkawinig. Ganabaj gii-gotaaji.,He hung on to me tight. I think he was scared.
gotaaji,Onjida go gotaaji awe abinoonjii dibikadinig.,That child is naturally scared of the night.
baanimaa,Baanimaa iidog wii-izhaawag oodenaang indaanis miinawaa onaabeman.,Later my daughter and her husband are going to town.
baanimaa,Baanimaa iidog wii-izhaawag oodenaang indaanis miinawaa onaabeman.,Later my daughter and her husband are going to town.
ishkwaa-naawakwe,"Giiyaabi go gigizhebaawagad. ""Maagizhaa gii-ishkwaa-naawakwe,"" indinendam.",It's still morning. I thought maybe it was afternoon.
ishkwaa-naawakwe,Ningii-mijidwe bezhigwaatig bakwezhigan noongom eshkwaa-naawakweg.,I ordered a loaf of bread through someone this afternoon.
ishkwaa-naawakwe,Megwaakwaa niwii-'o-babaa-izhaa noongom ishkwaa-naawakweg.,I want to go around in the woods this afternon.
ishkwaa-naawakwe,John wii-ni-giiwebizo noongom ishkwaa-naawakwenig.,John is going to drive home in the afternoon.
miinawaa,Baanimaa iidog wii-izhaawag oodenaang indaanis miinawaa onaabeman.,Later my daughter and her husband are going to town.
miinawaa,Maajiidoon 'i gidoonaagan giishpin waa-ininaaganewanen miinawaa.,Take your plate along if you're going to go after seconds.
miinawaa,Gigii-aanjidaabaane. Wawiinge go gigichi-mazina'ige miinawaa.,You got a another car. Owe a lot on credit again?
miinawaa,Bijiinag miinawaa ani-ziigwang gii-saagibagaag ji-mazhii'igewaad igiweg anokiiwininiwag.,Next spring when there is foliage that's when the work crew will start clearing and brushing.
miinawaa,Maazhipogod 'i manoomin. Awegodogwen dinowa miinawaa imaa gaa-tagonigaadegwen.,That rice tastes bad. I wonder what kind of thing they put in there again.
miinawaa,"Aa, nabagada'igan na miinawaa.","Ah, oatmeal again!"
mewinzha,Noomag igo ogii-tazhiikawaan ini asabiishan. Mewinzha daa-gii-kiizhiitaa.,He worked on the old net for a while. He should have been done a long time ago.
mewinzha,Mewinzha go imbi-gikenimaa endazhimad noongom.,I've known that person you're talking about today from way back.
mewinzha,Gichi-mewinzha gii-izhaayaambaan oodenaang.,It's been a long time since I've gone to town.
mewinzha,Mewinzha gii-kopibatoowag igiw abinoonjiiyag endawaabamadwaa.,The children you are looking for ran up from the lake long ago.
mewinzha,Mewinzha apane gaa'-waabamagiban nimisenh.,It's been a long time since I've seen my younger sister.
mewinzha,Mii 'iw gii-nagajibizoyin. Mewinzha omaa gii-pimibideg 'iw odaabaan.,You missed your ride. The bus went by here a long time ago.
debwetaw,Gwayak ina inaadizi ji-debwetawindiban.,Is she honest enough to be trusted?
debwetaw,Gego ganage debwetawaaken aana-wiizhaamik.,Don't ever listen to him if he asks you to go along.
minwendaagozi,Gii-minwendaagoziwag omaa dibikong.,They had a fun time last night.
niigaan,Niigaan 'i jiimaan izhi-atoon.,Put it in the front of the canoe.
niigaan,Niigaan bimose a'aw ikwezens awi-wiisiniwaad igi abinoojiinyag.,The girl is walking in front when the children are going to eat.
niigaan,Niigaan ani-maajaan. Booch giga-adimigoo.,Just go ahead. We'll catch up to you anyway.
nayaag,Nayaag igo nindebaabamaa biidaadagaakod.,I spotted him right away coming across the ice.
boodaajii-igan,Maamaagojiishkan boodaajii'igan wii-poodaajii'aman gidapishimon.,Use the foot pump to inflate your air mattress.
bemisemagak,Gii-kabaagwaashkwaniwag igiweg zhimaaganishag imaa bemisemagak.,The soldiers jumped out of the plane.
zegim,Ingii-segimig awe gaa-pabaamwewidang binesi awasonaago.,I was scared the other day by the thunder going around.
ishkodewaaboo,"Wa, gichi-mashkawaagamin i'iw ishkodewaaboo gaa-mina'igooyaan.","Wah, the liquor they gave me to drink is very strong."
boonii,Gijigijigaaneshiinyens imaa gii-poonii.,The chickadee landed there.
boonii,Ishkwaa-niso-diba'iganeg da-booniiwag igiw gaa-maa'ishkamowaad.,The travelers will land sometime after three o'clock.
boonii,Zhebaa omaa gii-pi-boonii migizi ogidabak.,This morning an eagle landed on the roof.
bimaadizi,Agaawaa go ... bimaadizi gaa-aapijishing.,He's barely alive having been in a serious accident.
miziwe,Miziwe gii-izhaa omaa godagiing gii-anda-gikenimaad aandi gaa-izhi-gozinid.,He went all over the neighborhood trying to find out where they moved to.
miziwe,Miziwe gikendaagozi awe endazhimad.,The person you are talking about is known all over.
miziwe,Miziwe nibabaa-wiijitwaa anishinaabemowin dazhiikigaadeg.,I'm helping out everywhere with revitalizing the Native language.
miziwe,Gitwen igo gaa-o-izhi-anokiiyaan miziwe wiisagendamaan.,I went to work even though I was sore all over.
miziwe,Ningii-ayaaminaaban gii-gichi-ziigibiisaag. Miziwe gii-mooshka'an.,We were in a cloudburst at one time. Everything was flooded.
bagidin,Niwani-bagidinaag ningiziingwe'onag.,I misplaced my towels.
bagidin,Gaawiin obagidinaasii' oniijaanisa' ji-niibaashkaanid.,She doesn't let her children be out at night.
bagidin,Gego bagidinaaken ji-bagidanaamonotawik.,Don't let him breathe on you.
gegaa,Bagidinisen. Gegaa go ani-dakate.,Put some wood on the fire. It's just about getting cold in here.
gegaa,Gegaa ingii-bichi-nisidawinawaa awe ikwe. Bakaanizi ingwana.,I almost mistook that woman for someone else. It turns it was somebody different.
gegaa,Ambe daga da-agwaataawag igiw abinoonjiinyag. Mii go gegaa gabe-ishkwaa-naawakwe zaagagwamowaad imaa nibiikaang.,Get those kids out of the water. They've been in the water almost all afternoon.
gegaa,Gegaa indoozhaazhishin imaa ani-zaaga'amaan.,I almost slipped when I went outside.
bimi,Anaamikwam bimi-inabi a'aw asab.,The net is in place running along under the ice.
ozhibii-igan,Ozhibii'igan gibiidamawin.,I'm bringing you the mail.
ozhibii-igan,Mii go booch gii-piindigadood odoozhibii'igan misawaa go aana-gii-inind ji-aanizhiitang.,He submitted his story even though they told him not to.
azhigwa,Ozhiitaawag igiw mewine'igewaad. Mii azhigwa makadekewaad.,The war party is getting ready. They're starting to paint their faces black.
azhigwa,Azhigwa ngiikiibingwash.,Now I'm getting sleepy.
gaye,"Awibaamagad, gichi-anwaatin igaye.",It's peaceful and the lake is nice and calm.
memeshkwad,Memeshkwad gii-kaakaadoowag ogow gaa-makizinataagewaad.,The moccasin game players took turns doing the hiding.
memeshkwad,Memeshkwad manisewag ningozisag.,My sons take turns cutting wood.
aanawi,"Aanawi go aana-waawiindamowaad, mii go gaawiin nisidotanziiwan.","Even though he told him many a time, he still didn't understand."
aanawi,Mii go aanawi gii-minoshing a'awe majiikiwis imaa ziindaamagak.,That battery did fit into the tight place.
aanawi,Mii go aanawi gii-ombishkaad awe bakwezhigan gaa-onadinag.,The dough that I kneaded rose [contrary to expectation].
aanawi,Aanawi go naa weweni ningii'-waawiindamawaa.,I did explain it carefully to her (but she might not get it).
aanawi,Gego izhinoo'waaken giiji-bimaadizii aanawi go gii-bizhishigwaabikak.,Don't aim your gun at a fellow human being even if it is empty.
apane,Apane indizhaa oodenaang maa'ishkamaan.,I go to town all the time to shop.
apane,Gaawiin ingizikawi'aasii awe abinoonjii. Mii go apane gwaakwaashkwanid.,I can not keep up with that child. He's always hopping and jumping around.
apane,Mii 'iw gegapii gii-mookiitaagod iniw odayan apane gaa-gagaanjinawe'aad.,"His dog finally took after him, the one who's always teasing him."
apane,Apane go daji'ind Bizhikiins.,Bizhikiins is late all the time.
apane,Apane gaye ogikinoo'amawaan oozhisan.,He teaches his grandchild all the time.
maamakaadendam,Maamakaadendam gaa-apiitaasigenid ini dibiki-giizisoon dibikong.,He was amazed at how bright the moon was last night.
maamakaadakamig,Maamakaadakamig inendaagozi gaa-anokiitang waakaa'igan.,It's amazing the way he's working on that house.
aakoziiwidaabaan,Aaniin enaabadizid awe odaabaan gaa-abid idi mashkikiiwigamigong. Mii na awe aakoziiwidaabaan.,What's that vehicle doing over there at the medical building? Is that the ambulance?
minik,Aaniish wiin minik epiitangindang.,How much is he asking for it?
minik,Akawe niwiindamawaa minik waa-tiba'amawind.,I told him about his pay ahead of time
minik,Ogii'-ozhibii'aanan minik gegoo waa'-andawadaawed.,She wrote down her shopping list. (She wrote down the things she is going to looking for to buy.)
aanikoobijigan,Gii'-agaashiinyensi nindaanikoobijigan gaa-gii'-nitaawiigid. Gii'-niso-dibaabiishkoojiganezi eta awashime.,My great-grandchild was so small when he was born. He only weighed a little over three pounds.
miinawaa,Baanimaa iidog wii-izhaawag oodenaang indaanis miinawaa onaabeman.,Later my daughter and her husband are going to town.
miinawaa,Maajiidoon 'i gidoonaagan giishpin waa-ininaaganewanen miinawaa.,Take your plate along if you're going to go after seconds.
miinawaa,Gigii-aanjidaabaane. Wawiinge go gigichi-mazina'ige miinawaa.,You got a another car. Owe a lot on credit again?
miinawaa,Bijiinag miinawaa ani-ziigwang gii-saagibagaag ji-mazhii'igewaad igiweg anokiiwininiwag.,Next spring when there is foliage that's when the work crew will start clearing and brushing.
miinawaa,Maazhipogod 'i manoomin. Awegodogwen dinowa miinawaa imaa gaa-tagonigaadegwen.,That rice tastes bad. I wonder what kind of thing they put in there again.
miinawaa,"Aa, nabagada'igan na miinawaa.","Ah, oatmeal again!"
nishki,Ingii-nishki'ig gaa-onji-gichi-basiingwe'wag.,He got me mad so that's why I slapped him hard.
nishkaadizi,"Indigo gii-nishkaadizi, initaagozi.",He sounds like he's mad.
nishkaadizi,Nishkaadizi awe akiwenzii. Mii miinawaa gii-niikimod.,That old man is mad. He just growled again.
nishkaadizi,Gii-nishkaadizi aana-gii-kaagiikaazomag.,He was angry when I counseled him.
awakaan,Ogiziibiiginaan odawakaanan.,He's washing his pets.
wiindamaage,Awegonen waandamaagegwen awe ikwe.,I wonder what that lady is telling about.
wiindamaage,"Giishpin gashkitooyan, gidaa-ojibwewibii'ige ji-wiindamaageyin aaniin apii ge-zagaswe'idiing.","If you can, write it in Ojibwe announcing when the meeting will take place."
migoshkaaji,Ogii-migoshkaaji'aan gaa-ni-onji-maajaanid.,He was pestering him so he left.
migoshkaadendam,Gii-migoshkaadendam gaa-ako-wani'aad iniw ojiwaaman.,He's been really bothered since he lost his friend.
ojaanimendam,Mii ji-bwaanawi'ad ji-gichiwinadiban. Ojaanimendam wii-azhegiiwed iwidi gaa-pi-onji-bazigwiid gaa-izhiwebadinig.,You won't be able to hold him back. He wants to go back where he came from because something happened over there.
awiya,Maagizhaa awiya gidaa-wiidookawaa.,Maybe you can help somebody.
awiya,Awiya ogii'-waabamaan jiigikana niibawinid.,He saw somebody standing by the road.
awiya,Awiya ningii'-noondawaa biibaagid gii-biidaabang.,I heard someone yelling at daybreak.
aanawi,"Aanawi go aana-waawiindamowaad, mii go gaawiin nisidotanziiwan.","Even though he told him many a time, he still didn't understand."
aanawi,Mii go aanawi gii-minoshing a'awe majiikiwis imaa ziindaamagak.,That battery did fit into the tight place.
aanawi,Mii go aanawi gii-ombishkaad awe bakwezhigan gaa-onadinag.,The dough that I kneaded rose [contrary to expectation].
aanawi,Aanawi go naa weweni ningii'-waawiindamawaa.,I did explain it carefully to her (but she might not get it).
aanawi,Gego izhinoo'waaken giiji-bimaadizii aanawi go gii-bizhishigwaabikak.,Don't aim your gun at a fellow human being even if it is empty.
gegoo,Gegoo na gigii-igoo.,Did they say something to you?
gegoo,Maagizhaa gaawiin gegoo ingikendanziin.,Maybe I don't know anything.
gegoo,Gakina gegoo odazhindaanaawaa ingiw.,They talk about everything.
bakiboode,Onzaam gabaya'ii imaa gii-sinogwaabiigisin mitigong gaa-onji-bakiboodeg iwe biiminakwaan.,That rope has been binding on the tree for a long time and that's why it frayed and broke.
mishiimin,Mamaangiminagiziwag igi mishiiminag gaa-piinagwaa.,The apples you brought are big.
mishiimin,Onzaamiinowag mishiiminag.,There's too many apples.
mishiimin,Ogii'-agaasikonaan mishiiminan jibwaa-amwaad.,She cut the apple into smaller pieces before she ate it.
mishiiminaaboo,Niminopidaan iwe mishiiminaaboo.,I like the taste of apple cider.
mishiiminaatig,Waawiyekizowag igiweg mishiiminaatigoog.,Those apple trees stand in a circle.
onagim,Gii-onagimaa imaa ji-namadabid zagaswe'idiiwining,He was nominated to sit on the tribal council.
onagim,Mii gii-onagimind ji-ogimaakwewid awe noozhishenh imaa gii-niimi'iding.,They selected my grandaughter to be the princess at the last pow-wow.
ingoji,Eshkan indawaaj aabajitoodaa. Ingoji apagidoon 'i waagaakwad.,Let's use an ice chisel instead. Toss the axe somewhere.
ingoji,Ingoji igo ingii-atoon. Dibi go baakaj.,"I put it somewhere, but I don't know where."
ingoji,Gashkiidibikateni Marie endaad. Ingoji maawiin ondendi.,Marie's place is dark. She must be gone somewhere.
giikaam,Na'egaaj sa go naa. Gego wiin giikaamaaken.,Take it easier. Don't get mad at him.
giikaam,Anishaa gigiikaam. Gaawiin gosha niin ningii'-wanibizo'aasii gidoodaabaan.,You're arguing with me for nothing. I'm not the one that took your car.
ditibise,Ditibise 'iw makizin.,That tire is rolling.
ozhishim,Odoozhishimaan ini asabiin imaa makakong.,He's packing the nets in a box.
dakon,Niwaawaata'amaag awe niinimoshenh waawa... waabishki-mashwensan ini dekonaad.,My sweetheart waved to me holding a white handkerchief in her hand.
okanaapine,Ganabaj wiiba da-bwaanawi'o nimishoomis. Mashkikiiwininiwan odigoon okanaapined.,I think my grandfather won't be able (to walk) soon. The doctor told him he has arthritis.
apiichi,Mii go wakewajid eni-apiichi-gitaadizid.,He gets chilled easily as he ages.
apiichi,Gii-tabazi awe giigidoowinini gii-waabandang epiichi-zanagadinig iwe gaa-piindigajigaadenig.,The representative backed up when he saw how difficult that resolution was.
apiichi,Apiichi-gagiibaadizi gaa-onji-gibaakwa'ond.,He's in jail because he's so foolish.
apiichi,Ogii-gichi-zanagaakonigoon iniw oosan gaa-apiichi-maanzhichiged.,"His wrong-doing was so bad, his father put real heavy restrictions on him."
apiichi,Ogii-ojiimaan iniwen ookomisan epiichi-minwendang waabamaad.,He kissed his grandmother he was so happy to see her.
apiichi,Aaniin epiichi-biboong.,How far along in the winter is it?
gaye,"Awibaamagad, gichi-anwaatin igaye.",It's peaceful and the lake is nice and calm.
ombishkaa,Mii go aanawi gii-ombishkaad awe bakwezhigan gaa-onadinag.,The dough that I kneaded rose [contrary to expectation].
bingwi,Nimanezin niizhooshkin 'i bingwi.,I need two bags of sand.
ikowebishkan,Indaga ikowebishkan iwe mitigoons gebaakosing.,Please kick the stick that's blocking the path out of the way.
gagwedwe,Gaye wiin aana-gii-kagwedwe ji-ozhibii'igaazod imaa.,He too asked to be put on the list.
gagwedwe,Akawe gidaa-giigid jibwaa-gagwedweyan.,You should phone first before you ask.
gagwedwe,Zhebaa ningii-awi-waabamaa ozhibii'igewikwe. Niwii'-wiiji'ig gaa-gii-kagwedweyaan.,This morning I went to see the office worker. She is going to help me with my request.
wiizhaam,Indaana-gii-wiizhaamaa niwiijiiwaagan iwidi waabanda'iding.,I asked my mate to go along with me to the fair.
wiizhaam,Niwiizhaamig wii-mawadishiwed.,She's asking me to go along visiting.
wiizhaam,Gii-pabanaadendam aana-gii-wiizhaamind 'i wiiji'iwed iwidi wii-izhaawaad gichi-oodenaang.,He gave up even though he's been asked to go along with them when they were going to go to the city.
nibaa,Gichi-noonde-nibaayaan gaa-izhi-gawishimoyaan wii-nibaayaan.,I was so sleepy I lay down to go to sleep.
nibaa,Gaawiin aapiji gii-nibaasii dibikong gaa-onji-noondeshing i'iw ezhichigepan.,He didn't sleep much last night so that's why he couldn't go on with what he was doing.
nibaa,Awasigakiiw gidaa-ani-nibaamin.,We can go sleep on the other side of the portage.
nibaa,Gaa-naningowed igo naa 'a nebaad. Ganabaj maanaabandam.,The sleeper is whimpering and sobbing. I think he's having a bad dream.
bigii-miikana,Gii-nooki-ayaa iwe bigii-miikana gaa-apiichi-gizhaateg.,It was so hot that blacked-top road just softened up.
maamawi-idiwag,Maamawi'idiwag igiweg mindimooyenyag waa-shaabowewaad.,The old women who are going to sing the accompaniment are assembling.
maamawi-idiwag,Mii 'i zhigwa maamawi'idiwaad igi nikag ozhiitaawaad wii-maajaawaad.,The geese are gathering now getting ready to leave.
wiisookaw,Gidaa-wiisookawaag apane gichi-anishinaabeg. Gegoo imaa giga-onji-gikendaan ge-ani-izhi-mino-bimaadiziyan.,You should often visit the elders. You will learn something there about leading a good life.
maamakaadakamig,Maamakaadakamig inendaagozi gaa-anokiitang waakaa'igan.,It's amazing the way he's working on that house.
mawinazh,Ogii-mawinanaawaan gii-nakweshkawaawaad iniw baadaasamosenid.,They rushed to meet the one who was coming towards them.
ambe,Ambe daga wiisinidaa.,Come on let's eat.
ambe,Ambe daga da-agwaataawag igiw abinoonjiinyag. Mii go gegaa gabe-ishkwaa-naawakwe zaagagwamowaad imaa nibiikaang.,Get those kids out of the water. They've been in the water almost all afternoon.
ambe,Ambe daga wiijiiwishin. Naadidaa i'iw doodooshaaboo imaa adaawewigamigong.,Come on with me. Let's go after some milk at the store.
ambe,Ambe shke naa owi-niimidaa.,"Come on, let's go dance."
ambe,Ambe omaa bi-izhaan.,Come over here
ambe,Ambe ishke gopiidaa.,Let's go into the woods.
ambe,Ishpi-dibikad. Ambe gidaa-gii-kawishimomin.,It's late. We should go lie down.
ambe,Ambe izhaadaa oodenaang.,"Come on, let's go to town."
biibaagadaawaage,Gii-onzaamiinowag gitigewininiwag iwidi gaa-izhaayaang gii-piibaagadaaweng.,There were a whole lot of farmers at the auction we went to.
madwe,Niminotam iko madwe-nagamowaad iwe nooji'ikwewe-nagamon.,I like when they sing that flirting song.
madwe,Madwe-migi.,You can hear that dog barking at a distance.
madwe,Madwe-mamaadwe awe gaa-kiishkizhiged bijiinaago wenda-gaagiijiiwagizigwen noongom.,They hear the one who mowed the lawn yesterday moaning and groaning so he must be sore and aching today.
madwe,Ishpi-dibik geyaabi madwe-baapiwag weshkiniigiwaad agwajiing.,The laughter of the young people outside went on late into the night.
madwe,Aasamajiw madwe-niibawi waawaashkeshi.,There's a deer standing on the hill in the distance.
madwe,Awasi-dibikong gii'-madwe-zaaga'am aakoziiwigamigong.,I heard that he come out of the hospital two nights ago.
madwe,Ningii-paazhidinawaa waawaashkeshi onzaam waasa madwe-niibawi.,I shoot over the deer because it was standing too far away.
waawaate,Mino-dibikad o'o waawaateg.,It's a nice night for the Northern lights.
odaabaan,Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.,He's not able to drive a car anymore because he can't see very well.
odaabaan,Ningii-pi-boozi'aa nindoodaabaaning.,I gave her a ride here in my car.
dagwaagin,Niwii-manise dagwaagig.,I'm going to cut wood this fall.
dagwaagin,Mii 'i gikendaagwak oshki-dagwaaging. Gii-pimwewidamoog igi nikag.,You can tell it is early fall. I heard the geese going by.
dagwaagin,Zhaawanong izhisewag maangwag gii-dagwaagig.,Loons fly south in the fall.
goshkozi,Gigoshkoz ina.,Are you awake?
goshkozi,Noomaya go mayaawabi. Mii bijiinag gii-goshkozid.,She's sitting up now. She just woke up.
goshkozi,Gigizheb inga-goshkoz waabang.,Tomorrow I'm going to wake up early at daybreak.
goshkozi,Ogii-kashkiiginaan oniijaanisensan wii'-nibe'aad. Gii-goshkozinid ogii'-aabiiginaan.,"She wrapped up her baby and put her to sleep. When she woke up, she unwrapped her."
ani,Ambe ani-maajaadaa. Indaga amaji'.,Let's get going. Wake him up!
ani,Ani-baagiingwe.,His face is starting to swell up.
ani,Eshkam igo endaso-giizhik ani-mino-ayaa.,She's getting better and better every day.
ani,"Ani-onaagoshig nimaamaa ingii-igonaan, ""Ambe naadoobiig.""","Towards evening my mother said to us, ""Go on, haul sap!"""
ani,Mii go wakewajid eni-apiichi-gitaadizid.,He gets chilled easily as he ages.
maajiidoon,Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.,"Before we take that hay out of here, you'd better tie it down good."
maajiidoon,Indaga maajiidoon i'iw gibimiwanaan. Ingoji iwidi izhiwidoon.,Take your backpack away. Take it someplace else.
maajiidoon,Niwii-maajiidoon niwaazakonebijigan.,I'm going to take along my flashlight.
maajiidoon,Bizaan igo ani-maajiidoon.,Just go ahead and take it with you.
maajiidoon,Waabang niwii'-naajiwanii'ige. Niwii'-maajiidoonan gokeyawan.,Tomorrow I will check the traps. I will take some baits along.
maajiidoon,Maajiidoon 'i gidoonaagan giishpin waa-ininaaganewanen miinawaa.,Take your plate along if you're going to go after seconds.
nanaa-in,Nanaa'in a'aw zhooshkodaabaan.,Fix the sled.
gagwaanisagakamig,Gagwaanisagakamig iidog gaa-gii'-aapijishinowaad odaabaaning.,What a tragic car accident!
migoos,Ogii-pagogwaadaan 'iw bashkwegin migoos gii-aabajitood.,He used an awl to put a hole in the hide.
migoos,Migoos badaka'igaagen ji-bagone'aman gegoo.,Use  an awl to pierce something to make a hole in it.
waagaakwad,Ogii-makamaan iniw oniijaanisan waagaakwad odaminwaagenid.,He took away the axe his child was playing with.
waagaakwad,Ogii-naabaakosidoon i'iw waagaakwadosh.,He put a new handle on that old ax.
waagaakwad,Eshkan indawaaj aabajitoodaa. Ingoji apagidoon 'i waagaakwad.,Let's use an ice chisel instead. Toss the axe somewhere.
waagaakwad,Nimaamaa ogii-andawaabamaan iniw wiigobaatigoon. Miish imaa gii-ozhitood iniwen negwaakwaanan. Ayi'ii ogii-aabajitoon iw waagaakwadoons.,My mother went looking for basswood trees. That's where she made those taps. She used a hatchet.
waagaakwad,"Waagaakwad aabadad gii-dwaa'igeng, maagizhaa gaye eshkan.","An ax is used when you chop a hole in the ice, or maybe a chisel."
waagaakwadwaatig,Ozaawaakwad niwaagaakwadwaatig.,My ax handle is brown.
gizhaadaawaso,Mii go apane gizhaadaawasod awe mindimooyenh wenji-wiijiiwaasiwag iko.,That old lady of mine is always baby-sitting -- that's why she never goes along with me.
ishkweyaang,Ishkweyaang iwidi atewan ini misan.,The firewood is over there at the back.
ishkweyaang,Gii-kwekibagizo awe nimishoome gii-pi-zhaagitang gegoo imaa ishkweyaang.,My uncle suddenly turned around when he heard something behind him.
ishkweyaang,Ishkweyaang ninamadab odaabaaning izhaayaang oodenaang.,I sit in the back when we go to town in the car.
ishkweyaang,Ishkweyaang iwidi atewan ini misan.,The firewood is over there at the back.
